work_code,mainstream_base_eur,note
ENGINE_REBUILD,4500,Okvirna ukupna osnovica za obnovu ili zamjenu motora.
HEAD_GASKET,1400,Okvirna osnovica za popravak brtve glave motora.
HIGH_PRESSURE_PUMP,1200,Okvirna osnovica za visokotlačnu pumpu goriva.
CATALYTIC_CONVERTER,900,Okvirna osnovica za katalizator.
GPF_REPLACEMENT,1100,Okvirna osnovica za GPF.
ADBLUE_PUMP,1000,Okvirna osnovica za AdBlue modul ili pumpu.
BRAKE_MASTER_CYLINDER,400,Okvirna osnovica za glavni kočioni cilindar.
ABS_HYDRAULIC_UNIT,850,Okvirna osnovica za ABS/ESP hidrauličnu jedinicu.
STEERING_RACK,900,Okvirna osnovica za letvu upravljača.
TRANSMISSION_REBUILD,3000,Okvirna osnovica za popravak ili zamjenu mjenjača.
WINDSCREEN_REPLACE,550,Okvirna osnovica za vjetrobransko staklo.
ADAS_CALIBRATION,220,Okvirna osnovica za kalibraciju kamere ili radara.
HEADLAMP_UNIT,550,Okvirna osnovica za jedno prednje svjetlo.
HV_BATTERY_REPLACE,10000,Okvirna osnovica za pogonsku bateriju prije vehicle tier prilagodbe.
EV_DRIVE_UNIT,4500,Okvirna osnovica za jedan električni pogonski sklop.
ONBOARD_CHARGER,2000,Okvirna osnovica za ugrađeni AC punjač.
DC_DC_CONVERTER,1400,Okvirna osnovica za DC/DC pretvarač.
CHARGE_PORT,800,Okvirna osnovica za priključak punjenja.
HV_INVERTER,3000,Okvirna osnovica za pogonski inverter.
HV_COOLANT,180,Okvirna osnovica za servis HV rashladne tekućine.
