id,type,url,date,scope,use,confidence
VMM_INPUT,USER_UPLOADED_DATASET,https://github.com/gor3a/vehicle-makes-models,2026-09-15,"Entire uploaded ZIP, source CSV+JSON+SQLite counted. ZIP comment identifies b4965631140fa82404359167621274601da69a5b.",Variant facts and raw brake/fuel-system descriptions only; no prices or schedules.,SOURCE_UNVERIFIED_THIRD_PARTY
HR_AKR_2026,PUBLISHED_PROVIDER_TARIFF,https://www.ak-rijeka.hr/wp-content/uploads/Cjenik-autoservis-2026.pdf,2026-01-02,"Autoklub Rijeka, published consumer tariff, VAT included.","60 EUR/h passenger-car labour anchor; basic scan 30 EUR; R134a up to 600g 70 EUR; R1234yf 200 EUR. One provider, not national mean.",DOCUMENT_READ_AND_TABLE_VIEWED
HR_KANTOCI_2026,PUBLISHED_PROVIDER_TARIFF,https://www.autokantoci.hr/cjenik/,2026-01-07,"Auto Kantoci tariff, stated net of VAT.","47 EUR/hour is a NET labour sanity check, not added to gross prices or treated as a national mean.",DOCUMENT_READ
UK_RENAULT,MANUFACTURER_SERVICE_TARIFF,https://www.renault.co.uk/service.html?CAMPAIGN=uk-en-r-l-def-aftersales_def-all_aftersales-na-bi-classic-search_2025&ORIGIN=SEA&ppc_keyword=renault+service,2026-09-15,"UK Renault petrol/hybrid passenger pricing; exclusions include diesel, >2.0L, Renault Sport and vans.","Sanity check for operation scope and relative job size only. No FX conversion, no transfer of this tariff to Croatian diesel variants.",DOCUMENT_READ; NOT_AN_HR_PRICE_SOURCE
UK_CLICKMECHANIC_TIMING,REPAIR_ESTIMATOR_BENCHMARK,https://www.clickmechanic.com/price-estimates/table/renault/megane/timing-belt-and-water-pump-replacement?p=1,2026-09-15,"UK estimator grouping by model/year/displacement, not exact VIN/engine code.",Labour/access variability cross-check. NOT evidence that every listed engine uses a timing belt. No automatic fitment or schedule assignment.,BENCHMARK_ONLY
TOYOTA_CHR_HR_2021,OEM_MODEL_PLAN,https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-CHR-CRO-2021.pdf,2021,"C-HR Hybrid HR model plan; mapped only to source generations C-HR (2016)/(2019), hybrid variants.","Repeating oil, brake-fluid, air-filter, cabin-filter intervals. No inference that initial coolant replacement is a repeating interval. Model match is not VIN confirmation.",MODEL_SCOPE_SOURCE; VERIFY_VIN_MARKET
TESLA_MODEL3_EU,OEM_MODEL_PLAN,https://www.tesla.com/ownersmanual/model3/en_eu/GUID-E95DAAD9-646E-4249-9930-B109ED7B1D91.html,2026-09-15,Current EU Model 3 manual; limited to source 2023 generation in this package.,Cabin filter every 24 months. Four-year brake-fluid CHECK is deliberately not converted to a four-year REPLACEMENT.,MODEL_SCOPE_SOURCE; VERIFY_VEHICLE
MYSQL_PYTHON_ARGS,OFFICIAL_TECHNICAL_DOCUMENTATION,https://dev.mysql.com/doc/connector-python/en/connector-python-connectargs.html,2026-09-15,MySQL Connector/Python connection arguments.,"TLS certificate+hostname verification, explicit transactions, timeouts, parameter binding.",OFFICIAL
MYSQL_PYTHON_RELEASE,OFFICIAL_RELEASE_NOTES,https://dev.mysql.com/doc/relnotes/connector-python/en/news-9-7-0.html,2026-04-22,Connector/Python 9.7.0.,Pinned importer dependency; NOT an executed integration-test claim.,OFFICIAL
MODEL_ASSUMPTIONS,AUTHOR_ASSUMPTION_NOT_SOURCE_FACT,,2026-09-15,config/model.json and config/works.json,"All parts costs, working hours, assumed oil quantities, class coefficients and applicability heuristics unless explicitly identified above. No claimed statistical accuracy.",UNMEASURED
DIAGNOSTIC_DESIGN,AUTHOR_RULE_DESIGN_NOT_CLINICAL_OR_MECHANICAL_VALIDATION,,2026-09-15,config/diagnostics.json,"Educational keyword matches and arbitrary relative weights. Not failure probabilities, diagnosis, or proof that a component must be replaced.",NOT_VALIDATED
DACIA_HR_OIL,OEM_GENERAL_ADVICE,https://www.dacia.hr/postprodaja/zamjena-motornog-ulja.html,2026-09-15,"General Dacia oil-change guidance, not a VIN-specific schedule.",Supports bundling oil+oil filter. Its 10000-15000 km wording depends on maintenance programme; not assigned indiscriminately to every Dacia variant.,GENERAL_SCOPE_ONLY
